,close,high,low,open,volume,baseVolume,datetime
0,10858.83000000,10860.00000000,10856.89000000,10858.67000000,48.52767600,526949.42859134,2020-09-15 21:02:00
1,10858.18000000,10858.83000000,10854.61000000,10858.83000000,25.64435800,278428.60445835,2020-09-15 21:03:00
2,10854.59000000,10858.19000000,10854.59000000,10858.19000000,27.04960500,293681.31554001,2020-09-15 21:04:00
3,10841.04000000,10854.60000000,10840.54000000,10854.59000000,43.07842800,467287.93687156,2020-09-15 21:05:00
4,10840.61000000,10842.00000000,10839.89000000,10841.04000000,24.06158200,260852.34147827,2020-09-15 21:06:00
5,10837.02000000,10840.76000000,10837.01000000,10840.60000000,19.20583100,208175.70453776,2020-09-15 21:07:00
6,10831.60000000,10837.52000000,10830.30000000,10837.27000000,42.91300900,464911.00159360,2020-09-15 21:08:00
7,10818.43000000,10831.61000000,10816.16000000,10831.61000000,44.74178700,484226.60066951,2020-09-15 21:09:00
8,10824.99000000,10825.87000000,10816.88000000,10818.32000000,22.79919600,246727.38216381,2020-09-15 21:10:00
9,10822.27000000,10825.96000000,10821.75000000,10824.99000000,18.23817300,197425.03298871,2020-09-15 21:11:00
10,10824.07000000,10824.39000000,10821.11000000,10822.27000000,10.09078300,109205.43876747,2020-09-15 21:12:00
11,10827.42000000,10827.42000000,10824.07000000,10824.07000000,13.12501600,142076.20891071,2020-09-15 21:13:00
12,10832.83000000,10833.55000000,10826.96000000,10826.96000000,14.08067200,152499.30363655,2020-09-15 21:14:00
